식품명,에너지(㎉),탄수화물(g),단백질(g),지방(g)
오삼불고기 (200g당),363,20,25,19
주꾸미볶음 (200g당),211,22,18,5
표고버섯볶음 (150g당),142,15,4,6
해물볶음 (400g당),419,32,38,15
곰보빵 (70g당),277,42,6,9
만주 (70g당),222,46,5,1
버터크림빵 (60g당),229,27,4,11
불고기피자 (200g당),505,61,27,16
참치샌드위치 (250g당),555,36,23,35
찹쌀도우넛 (70g당),207,39,3,3
채소고로케 (100g당),300,31,7,16
초콜릿케이크 (100g당),420,43,5,24
치즈케이크 (100g당),329,28,7,20
치즈피자 (200g당),553,71,31,15
페이스트리빵 (70g당),319,32,5,18
페퍼로니피자 (200g당),532,70,29,14
포테이토피자 (250g당),628,71,28,25
수정과 (150g당),133,20,0,5
식혜 (150g당),130,24,2,2
간장마늘쫑장아찌 (50g당),30,5,1,0
고추장마늘쫑장아찌 (50g당),55,10,1,0
매실장아찌 (30g당),72,17,0,0
무장아찌 (30g당),23,5,0,0
계적 (250g당),488,0,57,30
낙지꼬지 (80g당),75,2,13,1
돔베기적 (100g당),159,0,30,7
소고기산적 (200g당),453,7,48,25
소라산적 (80g당),120,6,17,2
오징어산적 (80g당),101,3,17,1
홍어적 (100g당),89,0,23,0
홍합산적 (80g당),156,10,17,4
가자미전 (150g당),230,6,25,11
고추전 (150g당),274,17,12,17
굴전 (100g당),195,14,10,10
깻잎전 (150g당),361,14,17,25
녹두빈대떡 (100g당),207,20,7,10
동그랑땡(육원전) (150g당),309,12,19,20
동태전 (150g당),268,10,22,15
두부전 (150g당),254,7,20,15
미나리전 (150g당),226,34,5,7
배추전 (150g당),240,35,5,8
버섯전 (150g당),240,16,10,14
야채전 (100g당),194,21,5,9
파전 (150g당),292,34,6,14
햄부침 (100g당),244,11,11,17
호박부침개 (100g당),129,10,3,8
호박전 (150g당),208,16,6,13
화양적 (150g당),272,21,13,14
가자미조림 (300g당),297,21,37,7
고추조림 (100g당),111,13,3,4
동태조림 (250g당),276,17,40,4
돼지고기메추리알장조림 (50g당),63,3,8,1
북어조림 (100g당),181,17,20,3
소고기메추리알장조림 (50g당),60,2,8,1
조기조림 (300g당),384,12,41,18
게살죽 (800g당),564,107,17,7
깨죽 (800g당),515,79,13,15
백합죽 (700g당),455,84,16,5
소고기버섯죽 (800g당),578,109,18,7
어죽 (800g당),552,100,20,7
잣죽 (700g당),874,155,19,19
참치죽 (800g당),659,104,24,16
고등어찌개 (600g당),601,25,48,33
김치찌개 (400g당),243,11,15,15
꽁치찌개 (300g당),355,12,24,23
두부전골 (500g당),315,17,25,16
버섯찌개 (400g당),167,15,14,5
부대찌개 (600g당),399,39,18,18
새우젓두부찌개 (300g당),166,7,16,8
소곱창전골 (600g당),529,29,41,27
햄김치찌개 (300g당),189,12,11,10
호박찌개 (300g당),95,12,5,2
대구찜 (500g당),376,24,51,7
도미찜 (100g당),125,0,22,3
동태찜 (500g당),394,25,50,9
돼지등갈비찜 (450g당),961,57,72,49
돼지머리고기 (200g당),650,3,42,52
매운갈비찜 (300g당),517,23,61,19
문어숙회 (80g당),66,0,14,0
민어찜 (100g당),136,0,21,5
병어찜 (100g당),179,0,18,11
북어찜 (150g당),235,18,28,5
붕어찜 (1100g당),835,71,54,36
소갈비찜 (250g당),494,13,49,26
순대  (300g당),542,58,19,25
아구찜 (400g당),310,17,48,5
아구찜 (750g당),492,43,65,6
