식품명,에너지(㎉),탄수화물(g),단백질(g),지방(g)
허브 티 베이비 그린티 venti (hot) (680mL당),0,0,0,0
허브 티 베이비 그린티 venti (iced) (680mL당),0,0,0,0
유자차 tall (369mL당),225,58,0,0
유자차 grande  (510mL당),300,78,0,0
유자차 venti  (680mL당),375,97,0,0
후레쉬 티 자몽 tall (369mL당),107,27,0,0
후레쉬 티 자몽 grande  (510mL당),129,32,0,0
후레쉬 티 자몽 venti  (680mL당),150,37,0,0
후레쉬 티 레몬 tall (hot) (369mL당),105,26,0,0
후레쉬 티 레몬 tall (iced) (397mL당),0,0,0,0
후레쉬 티 레몬 grande (hot) (510mL당),126,31,0,0
후레쉬 티 레몬 grande (iced) (454mL당),0,0,0,0
아카시아 꿀차 tall (369mL당),289,51,3,7
아카시아 꿀차 grande  (510mL당),367,67,4,8
아카시아 꿀차 venti  (680mL당),449,82,5,9
바닐라 탐앤치노 tall (397mL당),289,51,3,6
바닐라 탐앤치노 grande  (454mL당),366,66,4,7
바닐라 탐앤치노 venti  (680mL당),448,82,5,9
에스프레소 탐앤치노 tall (397mL당),236,37,3,7
에스프레소 탐앤치노 grande  (454mL당),295,48,4,8
에스프레소 탐앤치노 venti  (680mL당),360,59,4,10
모카 탐앤치노 tall (397mL당),303,53,4,7
모카 탐앤치노 grande  (454mL당),387,70,5,8
모카 탐앤치노 venti  (680mL당),476,87,7,10
캬라멜 탐앤치노 tall (397mL당),324,56,3,8
캬라멜 탐앤치노 grande  (454mL당),426,77,5,9
캬라멜 탐앤치노 venti  (680mL당),512,93,6,11
시나몬 모카 탐앤치노 tall (397mL당),261,46,3,6
시나몬 모카 탐앤치노 grande  (454mL당),315,56,4,7
시나몬 모카 탐앤치노 venti  (680mL당),373,67,5,8
그린민트 모카 탐앤치노 tall (397mL당),333,205,4,8
그린민트 모카 탐앤치노 grande  (454mL당),411,291,5,10
그린민트 모카 탐앤치노 venti  (680mL당),495,376,6,11
그린 티 탐앤치노 tall (397mL당),338,59,4,8
그린 티 탐앤치노 grande  (454mL당),405,71,6,10
그린 티 탐앤치노 venti  (680mL당),472,83,7,11
시나몬 초콜릿 탐앤치노 tall (397mL당),339,58,5,8
시나몬 초콜릿  탐앤치노 grande  (454mL당),406,69,7,10
시나몬 초콜릿 탐앤치노 venti  (680mL당),473,81,8,12
그린민트 초콜릿 탐앤치노 tall (397mL당),418,213,6,14
그린민트 초콜릿 탐앤치노 grande  (454mL당),520,301,7,17
그린민트 초콜릿 탐앤치노 venti  (680mL당),613,388,9,19
자바 칩 탐앤치노 tall (397mL당),423,69,6,13
자바 칩 탐앤치노 grande  (454mL당),531,88,9,15
자바 칩 탐앤치노 venti  (680mL당),628,106,11,18
월넛치노 tall (397mL당),621,98,11,21
월넛치노 grande  (454mL당),714,113,13,23
월넛치노 venti  (680mL당),807,127,15,26374
플레인 요거트 스무디 tall (397mL당),297,54,7,5
플레인 요거트 스무디 grande (454mL당),386,70,10,7
플레인 요거트 스무디 venti (680mL당),461,85,12,8
프리미엄 요거트 스무디 tall (397mL당),379,85,2,3
프리미엄 요거트 스무디 grande (454mL당),450,101,2,3
프리미엄 요거트 스무디 venti (680mL당),555,126,3,4
프리미엄 스무디 블루베리 tall (397mL당),379,85,2,3
프리미엄 스무디 블루베리 grande (454mL당),450,101,2,3
프리미엄 스무디 블루베리 venti (680mL당),555,126,3,4
프리미엄 스무디 유자 tall (397mL당),301,71,1,2
프리미엄 스무디 유자 grande (454mL당),439,104,2,3
프리미엄 스무디 유자 venti (680mL당),571,136,2,3
과일 요거트 스무디 tall (397mL당),359,79,2,3
과일 요거트 스무디 grande  (454mL당),426,94,2,4
과일 요거트 스무디 venti  (680mL당),525,117,3,4
과일 스무디 딸기 tall (397mL당),359,79,2,3
과일 스무디 딸기 grande  (454mL당),426,94,2,4
과일 스무디 딸기 venti  (680mL당),525,117,3,4
과일 스무디 망고 tall (397mL당),354,77,2,3
과일 스무디 망고 grande  (454mL당),420,92,2,4
과일 스무디 망고 venti  (680mL당),517,114,3,4
홍시 스무디 tall (397mL당),357,46,3,3
후레쉬 에이드 자몽 tall (397mL당),149,37,0,0
후레쉬 에이드 자몽 grande  (454mL당),204,51,0,0
후레쉬 에이드 망고 venti  (680mL당),250,62,0,0
후레쉬 쥬스 오렌지 tall (397mL당),105,26,0,0
후레쉬 쥬스 오렌지 grande (454mL당),126,31,0,0
후레쉬 쥬스 오렌지 venti (680mL당),147,36,0,0
후레쉬 에이드 레몬  tall (397mL당),147,37,0,0
후레쉬 에이드 레몬  grande (454mL당),202,50,0,0
후레쉬 에이드 레몬  venti (680mL당),247,62,0,0
후레쉬 쥬스 자몽 tall (397mL당),107,27,0,0
후레쉬 쥬스 자몽 grande (454mL당),129,32,0,0
후레쉬 쥬스 자몽 venti (680mL당),150,37,0,0
후레쉬 주스 오렌지 tall (397mL당),105,26,0,0
후레쉬 주스 오렌지 grande (454mL당),126,31,0,0
블루레몬 에이드 grande (454mL당),292,73,0,0
아이스 티 복숭아 tall (397mL당),179,44,0,0
아이스 티 복숭아 grande (454mL당),256,63,0,0
아이스 티 복숭아 venti (680mL당),315,77,0,0
아이스 티 레몬 tall (397mL당),180,44,0,0
아이스 티 레몬 grande (454mL당),258,63,0,0
아이스 티 레몬 venti (680mL당),318,78,0,0
아이스 홍시 tall (397mL당),173,26,0,0
국내산 과일주스 딸기 grande (454mL당),276,69,1,0
유자에이드 tall (397mL당),261,67,0,0
유자에이드 grande (454mL당),380,97,0,0
유자에이드 venti (680mL당),495,127,0,0
아이스블루스노우모카 R (410mL당),321,0,4,0
아이스블루스노우모카 L (580mL당),499,0,8,0
블루스노우모카 R (360mL당),416,0,8,0
블루스노우모카 L (475mL당),574,0,11,0
넘버 원 모카 R (378mL당),463,0,8,0
넘버 원 모카 L (478mL당),541,0,10,0
시나몬 크림 모카 R (251mL당),225,0,7,0
시나몬 크림 모카 L (339mL당),295,0,9,0
화이트 모카 R (354mL당),394,0,7,0
화이트 모카 L (464mL당),531,0,9,0
아이스 아메리카노 R (395mL당),5,0,0,0
아이스 아메리카노 L (530mL당),10,0,0,0
아메리카노 R (280mL당),5,0,0,0
아메리카노 L (450mL당),10,0,0,0
카페라떼 R (280mL당),161,0,7,0
카페라떼 L (360mL당),205,0,9,0
아이스 카페라떼R (395mL당),122,0,5,0
아이스 카페라떼L (530mL당),185,0,8,0
민트모카 R (369mL당),482,0,10,0
민트모카 L (489mL당),631,0,15,0
아이스 민트모카 R (424mL당),404,0,6,0
아이스 민트모카 L (599mL당),518,0,9,0
에스프레소 토피넛라떼 R (356mL당),445,0,8,0
에스프레소 토피넛라떼 L (462mL당),598,0,10,0
아이스 에스프레소 토피넛라떼 R (411mL당),367,0,4,0
아이스 에스프레소 토피넛라떼 L (487mL당),500,0,6,0
아이스 화이트모카 R (409mL당),347,0,4,0
아이스 화이트모카 L (574mL당),523,0,7,0
아이스 넘버원모카 R (403mL당),366,0,3,0
아이스 넘버원모카 L (678mL당),567,0,10,0
아이스 카라멜모카 R (409mL당),427,0,7,0
아이스 카라멜모카 L (554mL당),319,0,5,0
아이스 카페모카 R (409mL당),319,0,5,0
아이스 카페모카 L (574mL당),480,0,8,0
아이스 연라떼 R (281mL당),158,0,4,0
아이스 연라떼 L (451mL당),267,0,8,0
아이스 카라멜 마끼아또 R (274mL당),136,0,2,0
아이스 카라멜 마끼아또 L (439mL당),229,0,5,0
아이스 바닐라라떼 R (415mL당),154,0,5,0
아이스 바닐라라떼 L (560mL당),331,0,11,0
아이스 카푸치노 R (221mL당),41,0,1,0
아이스 카푸치노 L (361mL당),92,0,3,0
아이스 카라멜 라떼 R (415mL당),187,0,5,0
아이스 카라멜 라떼 L (560mL당),283,0,8,0
에스프레소 (30mL당),5,0,0,0
콘파냐 (40mL당),32,0,0,0
아포가토 (105mL당),108,0,1,0
카라멜 라떼 R (300mL당),226,0,7,0
카라멜 라떼 L (360mL당),303,0,9,0
바닐라라떼 R (300mL당),193,0,7,0
바닐라라떼 L (390mL당),253,0,9,0
연라떼 R (251mL당),223,0,7,0
연라떼 L (346mL당),316,0,10,0
카푸치노 R (221mL당),126,0,5,0
카푸치노 L (301mL당),170,0,7,0
카라멜 마끼아또 R (244mL당),201,0,5,0
카라멜 마끼아또 L (334mL당),278,0,7,0
카라멜모카 R (354mL당),396,0,8,0
카라멜모카 L (464mL당),539,0,11,0
딸기라떼 R (377mL당),209,0,4,0
딸기라떼 L (473mL당),286,0,4,0
진저라떼 R (280mL당),265,0,7,0
진저라떼 L (360mL당),359,0,9,0
캐시미어 초코 R (296mL당),533,0,10,0
캐시미어 초코 L (421mL당),785,0,14,0
토피넛 라떼 R (316mL당),440,0,8,0
토피넛 라떼 L (402mL당),588,0,10,0
아이스 화이트초코 라떼 R (396mL당),333,0,4,0
아이스 화이트초코 라떼 L (610mL당),543,0,9,0
아이스 초코 라떼 R (396mL당),323,0,5,0
아이스 초코 라떼 L (601mL당),489,0,9,0
아이스 토피넛 라떼 R (401mL당),362,0,4,0
아이스 토피넛 라떼 L (497mL당),490,0,6,0
아이스 고구마라떼 R (490mL당),253,0,4,0
아이스 고구마라떼 L (545mL당),398,0,7,0
고구마라떼 R (350mL당),381,0,7,0
고구마라떼 L (440mL당),519,0,11,0
오곡라떼 R (285mL당),341,0,10,0
오곡라떼 L (368mL당),474,0,13,0
아이스 그린티라떼 R (385mL당),216,0,5,0
아이스 그린티라떼 L (530mL당),334,0,8,0
아이스 오곡라떼 R (468mL당),296,0,7,0
아이스 오곡라떼 L (523mL당),470,0,11,0
녹차라떼 R (263mL당),245,0,7,0
녹차라떼 L (330mL당),313,0,9,0
아이스 홍차라떼 R (393mL당),238,0,5,0
아이스 홍차라떼 L (508mL당),334,0,7,0
시나몬 크림 초코 R (211mL당),220,0,7,0
시나몬 크림 초코 L (324mL당),285,0,9,0
아이스 시나몬크림초코 R (241mL당),136,0,3,0
아이스 시나몬크림초코 L (384mL당),207,0,5,0
홍차라떼 R (270mL당),269,0,7,0
홍차라떼 L (345mL당),364,0,10,0
리얼프리미엄 초코 R (301mL당),478,0,11,0
리얼프리미엄 초코 L (451mL당),715,0,16,0
리얼프리미엄 모카 R (274mL당),462,0,8,0
리얼프리미엄 모카 L (424mL당),712,0,12,0
리얼프리미엄 바닐라 R (243mL당),336,0,6,0
리얼프리미엄 바닐라 L (355mL당),509,0,11,0
초코 라떼 R (311mL당),382,0,8,0
초코 라떼 L (401mL당),519,0,11,0
아이스 민트초코 라떼 R (499mL당),370,0,6,0
아이스 민트초코 라떼 L (531mL당),443,0,7,0
민트초코 라떼 R (339mL당),448,0,9,0
민트초코 라떼 L (436mL당),513,0,11,0
화이트초코 라떼 R (311mL당),391,0,7,0
화이트초코 라떼 L (410mL당),543,0,9,0
수박 프로스트 R (525mL당),161,0,14,0
수박 프로스트 L (725mL당),242,0,21,0
청포도 프로스트 R (320mL당),227,0,0,0
청포도 프로스트 L (430mL당),374,0,0,0
초코 파르페 (466mL당),598,0,9,0
딸기치즈 프로스트 R (420mL당),411,0,6,0
딸기치즈 프로스트 L (601mL당),701,0,9,0
딸퐁 요거트 프로스트 R (497mL당),427,0,6,0
딸퐁 요거트 프로스트 L (612mL당),545,0,8,0
깔라만시 프로스트 R (405mL당),319,0,4,0
깔라만시 프로스트 L (515mL당),468,0,6,0
그래놀라요거트프로스트(블루베리) R (290mL당),369,0,6,0
그래놀라요거트프로스트(블루베리) L (420mL당),574,0,10,0
리얼 쿠앤크 쉐이크 (380mL당),382,0,3,0
리얼 블루베리 쉐이크 (385mL당),252,0,2,0
리얼 딸기 쉐이크 (430mL당),280,0,3,0
오리지널 바닐라 쉐이크 (365mL당),186,0,3,0
블루베리 버블 프로스트 R (383mL당),366,0,2,0
블루베리 버블 프로스트 L (464mL당),633,0,4,0
타로 버블 프로스트 R (383mL당),371,0,2,0
타로 버블 프로스트 L (464mL당),642,0,5,0
망고 버블 프로스트 R (383mL당),360,0,2,0
망고 버블 프로스트 L (464mL당),625,0,4,0
모카 프로스트 R (389mL당),447,0,4,0
모카 프로스트 L (514mL당),653,0,7,0
에스프레소 프로스트 R (345mL당),304,0,2,0
에스프레소 프로스트 L (435mL당),448,0,4,0
자바칩모카 프로스트 R (384mL당),484,0,6,0
자바칩모카 프로스트 L (522mL당),708,0,9,0
카라멜 프로스트 R (389mL당),444,0,3,0
카라멜 프로스트 L (514mL당),653,0,7,0
자바칩 프로스트 R (381mL당),488,0,7,0
자바칩 프로스트 L (519mL당),727,0,11,0
녹차 프로스트 R (401mL당),360,0,5,0
녹차 프로스트 L (526mL당),495,0,8,0
고구마 프로스트 R (475mL당),448,0,6,0
고구마 프로스트 L (650mL당),673,0,9,0
화이트 프로스트 R (374mL당),490,0,4,0
화이트 프로스트 L (477mL당),619,0,7,0
오곡프로스트 R (400mL당),404,0,7,0
오곡프로스트 L (533mL당),578,0,10,0
유자 프로스트 R (385mL당),305,0,3,0
유자 프로스트 L (545mL당),532,0,5,0
키위 프로스트 R (375mL당),298,0,4,0
키위 프로스트 L (520mL당),503,0,7,0
망고 프로스트 R (395mL당),336,0,5,0
망고 프로스트 L (520mL당),479,0,7,0
딸기 프로스트 R (375mL당),276,0,4,0
딸기 프로스트 L (520mL당),465,0,7,0
믹스베리 프로스트 R (395mL당),330,0,3,0
믹스베리 프로스트 L (520mL당),471,0,5,0
플레인 요거트 프로스트 (370mL당),253,0,5,0
딸기 요거트 프로스트 R (335mL당),255,0,3,0
딸기 요거트 프로스트 L (455mL당),382,0,5,0
키위 요거트 프로스트 R (335mL당),266,0,3,0
키위 요거트 프로스트 L (455mL당),399,0,5,0
망고 요거트 프로스트 R (335mL당),259,0,3,0
망고 요거트 프로스트 L (455mL당),388,0,5,0
청포도 에이드 R (365mL당),107,0,0,0
청포도 에이드 L (525mL당),187,0,0,0
깔라만시 팝핑에이드 R (405mL당),105,0,0,0
깔라만시 팝핑에이드 L (600mL당),187,0,0,0
깔라망코주스 R (410mL당),170,0,0,0
깔라망코주스 L (590mL당),243,0,0,0
오리지널 깔라만시 R (415mL당),93,0,0,0
오리지널 깔라만시 L (590mL당),140,0,0,0
유자몽 에이드 R (440mL당),257,0,0,0
유자몽 에이드 L (650mL당),386,0,0,0
허니코코망고 에이드 (405mL당),200,0,0,0
허니코코망고 에이드 (575mL당),300,0,0,0
블루 레몬 에이드 R (420mL당),236,0,0,0
블루 레몬 에이드 L (590mL당),269,0,0,0
레몬 에이드 L (590mL당),251,0,0,0
자몽에이드 R (435mL당),200,0,0,0
자몽에이드 L (620mL당),300,0,0,0
석류 아이스티 R (400mL당),180,0,0,0
석류 아이스티 L (568mL당),270,0,0,0
핑크레몬에이드 R (400mL당),180,0,0,0
핑크레몬에이드 L (568mL당),270,0,0,0
블루베리에이드 R (400mL당),180,0,0,0
블루베리에이드 L (568mL당),270,0,0,0
딸기주스 R (360mL당),170,0,1,0
딸기주스 L (515mL당),255,0,1,0
오렌지주스 R (370mL당),171,0,2,0
오렌지주스 L (575mL당),279,0,3,0
키위쥬스 R (410mL당),176,0,2,0
키위쥬스 L (590mL당),264,0,3,0
바나나주스 R (390mL당),273,0,4,0
바나나주스 L (575mL당),419,0,7,0
토마토쥬스 R (370mL당),99,0,2,0
토마토쥬스 L (575mL당),157,0,3,0
하이포션 레몬그라스 R (405mL당),163,0,0,0
하이포션 레몬그라스 L (573mL당),244,0,0,0
하이포션 로즈플라워 R (405mL당),112,0,0,0
하이포션 로즈플라워 L (572mL당),168,0,0,0
깔라봉 차 R (310mL당),146,0,0,0
깔라봉 차 L (495mL당),220,0,0,0
자몽차 R (320mL당),200,0,0,0
자몽차 L (510mL당),300,0,0,0
로즈플라워 (305mL당),5,0,0,0
레몬그라스 (305mL당),5,0,0,0
얼그레이(홍차) (305mL당),5,0,0,0
다즐링(홍차) (305mL당),5,0,0,0
레몬차 R (320mL당),200,0,0,0
레몬차 L (510mL당),300,0,0,0
유자차 R (320mL당),200,0,0,0
유자차 L (510mL당),300,0,0,0
생강차 R (320mL당),220,0,0,0
생강차 L (510mL당),330,0,0,0
한라봉차 R (320mL당),200,0,0,0
한라봉차 L (510mL당),300,0,0,0
매실차 R (320mL당),240,0,0,0
매실차 L (510mL당),360,0,0,0
대추차 R (320mL당),200,0,0,0
대추차 L (510mL당),300,0,0,0
모과차 R (320mL당),200,0,0,0
모과차 L (510mL당),300,0,0,0
쟈스민(허브티) (305mL당),5,0,0,0
캐모마일(허브티) (305mL당),5,0,0,0
루이보스(허브티) (305mL당),5,0,0,0
페퍼민트(허브티) (305mL당),5,0,0,0
달콤파르페 (481g당),497,0,5,0
화이트초콜릿라즈베리 (100g당),114,0,2,0
민트초코칩 (100g당),250,0,3,0
초코릿 엑스타시 (100g당),132,0,2,0
카페 에스프레소 (100g당),126,0,2,0
월넛버터 스카치 (100g당),265,0,4,0
쿠키앤크림 (100g당),130,0,2,0
바닐라클래식 (100g당),115,0,2,0
레인보우 (100g당),114,0,2,0
그린티 (100g당),230,0,4,0
스트로베리 (100g당),115,0,2,0
프룻포레스트 요거트 (100g당),180,0,3,0
보이즌 베리드림 (100g당),220,0,3,0
베리플릇 소르베 (100g당),75,0,0,0
호키포키 바닐라  (100g당),121,0,2,0
마마흑당눈꽃빙수 (548g당),838,0,5,0
브라우니 눈꽃빙수 (511g당),974,0,9,0
블루베리 치즈크림 눈꽃빙수 (635g당),944,0,6,0
자두복숭아눈꽃빙수 (665g당),621,0,0,0
타로눈꽃빙수 (500g당),783,0,5,0
망고치즈눈꽃빙수 (710g당),856,0,3,0
딸기치즈눈꽃빙수(일반) (527g당),828,0,11,0
딸기치즈눈꽃빙수(우유) (725g당),858,0,11,0
초코눈꽃빙수 (525g당),1033,0,10,0
인절미눈꽃빙수 (608g당),1075,0,17,0
쿠앤크눈꽃빙수(일반) (718g당),1117,0,14,0
쿠앤크눈꽃빙수(우유) (550g당),964,0,13,0
밀크눈꽃빙수(일반) (735g당),893,0,18,0
밀크눈꽃빙수(우유) (585g당),826,0,16,0
달달하구마빙수 (656g당),888,0,13,0
딸기빙수 (560g당),412,0,5,0
쿠키마우스빙수 (592g당),919,0,7,0
컵커피빙수 (280g당),238,0,4,0
컵딸기빙수 (355g당),313,0,4,0
컵팥빙수 (361g당),392,0,5,0
팥빙수 (653g당),685,0,10,0
커피빙수 (510g당),393,0,7,0
녹차빙수 (470g당),391,0,6,0
바닐라품었슈 (139g당),169,0,2,0
딸기탑 마마츄리 (274g당),657,0,10,0
시나몬 멜츠 브레드 (110g당),487,0,8,0
리치골드브레드 (409g당),1263,0,53,0
허니치즈퐁당마마츄리 (187g당),597,0,20,0
잉글리쉬머핀 (120g당),262,0,14,0
치즈스틱케이크 (45g당),106,0,2,0
고구마스틱케이크 (45g당),106,0,2,0
블루베리스틱케이크 (45g당),122,0,3,0
초코스틱케이크 (45g당),146,0,3,0
초코 퐁당 마마츄리 (205g당),670,0,9,0
블루베리 퐁당 마마츄리 (230g당),611,0,9,0
라즈베리 퐁당 마마츄리 (230g당),618,0,9,0
크로크무슈 (140g당),388,0,10,0
플레인베이글 (113g당),317,0,12,0
어니언베이글 (113g당),328,0,11,0
크림치즈프레즐 (99g당),250,0,8,0
블루베리베이글 (113g당),345,0,12,0
스콘(건포도) (90g당),437,0,5,0
스콘(시나몬호두) (90g당),366,0,4,0
치즈번 (60g당),235,0,4,0
모카번 (60g당),240,0,4,0
초코머핀 (140g당),560,0,11,0
블루베리머핀 (140g당),571,0,7,0
마카다미아넛쿠키 (38g당),185,0,2,0
록키로드쿠키 (38g당),180,0,2,0
초콜렛칩청크쿠키 (38g당),180,0,2,0
오트밀레이즌쿠키 (38g당),170,0,2,0
플레인와플 (110g당),351,0,3,0
카라멜월넛와플 (123g당),403,0,3,0
초코와플 (110g당),351,0,3,0
메이플아몬드와플 (123g당),395,0,3,0
아이스크림와플 (134g당),343,0,4,0
블루베리크림치즈와플 (148g당),429,0,4,0
라즈베리바나나와플 (240g당),505,0,4,0
스페셜마마와플 (459g당),861,0,9,0
피넛버터브레드 (297g당),1050,0,32,0
카라멜브레드 (258g당),984,0,17,0
초콜릿브레드 (273g당),708,0,38,0
갈릭치즈브레드 (238g당),877,0,26,0
치즈크림 초콜릿 라떼 (411mL당),415,0,15,0
치즈크림 스트로베리 라떼 (411mL당),340,0,7,0
치즈크림 후르츠 피치 티 (406mL당),250,0,1,0
아이스 흑당 카페라떼 (405mL당),210,0,9,0
흑당 카페라떼 (405mL당),210,0,9,0
흑당 곡물라떼 (390mL당),265,0,14,0
아이스 흑당 곡물라떼 (390mL당),265,0,14,0
TWG 흑당 버블 밀크티 (413mL당),280,0,10,0
애플민트티 (312mL당),105,0,0,0
아이스 그나와 민트티 (383mL당),0,0,0,0
1837 블랙티(아이스) (383mL당),0,0,0,0
카모마일 (383mL당),0,0,0,0
크림 카라멜 (383mL당),0,0,0,0
프렌치 얼그레이 (383mL당),0,0,0,0
1837 블랙티 (383mL당),0,0,0,0
상그리아 에이드 (505mL당),250,0,0,0
레몬 셔벗 에이드 (505mL당),210,0,0,0
허니레몬 아이스티 (361mL당),105,0,0,0
오렌지자몽티 (360mL당),157,0,2,0
고구마 라떼 (360mL당),342,0,16,0
유자 레몬티 (354mL당),255,0,0,0
로얄 밀크티 (354mL당),290,0,60,0
롱블랙 (280mL당),10,0,2,0
아이스 롱블랙 (300mL당),10,0,2,0
제주 말차 프라페 (420mL당),410,0,16,0
아이스 숏라떼 (300mL당),110,0,12,0
로얄 밀크티 쉐이크 (395mL당),480,0,18,0
자몽 에이드 (480mL당),275,0,10,0
카라멜 마키아또 R (354mL당),250,0,15,0
카라멜 마키아또 L (480mL당),340,0,20,0
스트로베리 피치 프라페 (420mL당),265,0,2,0
오렌지 에이드 (480mL당),135,0,2,0
카페 아메리카노 R (354mL당),15,0,2,0
카페 아메리카노 L (480mL당),20,0,2,0
카푸치노 R (354mL당),140,0,15,0
카푸치노 L (480mL당),190,0,22,0
에스프레소 마키아또 더블 (70mL당),15,0,1,0
아이스 초콜릿 라떼 R (420mL당),465,0,17,0
아이스 초콜릿 라떼 L (480mL당),430,0,20,0
아이스 바닐라 라떼 R (420mL당),235,0,15,0
아이스 바닐라 라떼 L (480mL당),270,0,17,0
에스프레소 마키아또 싱글 (35mL당),10,0,1,0
카페 모카 R (354mL당),295,0,15,0
카페 모카 L (480mL당),405,0,22,0
아이스 커피 R (420mL당),10,0,0,0
아이스 커피 L (480mL당),10,0,0,0
아이스 카페 라떼 R (420mL당),155,0,17,0
아이스 카페 라떼 L (480mL당),175,0,20,0
에스프레소 콘 파나 더블 (70mL당),90,0,2,0
콜드브루 (360mL당),10,0,2,0
커피 쉐이크 (420mL당),460,0,12,0
아이스 그린티 라떼 (420mL당),270,0,18,0
아이스 카페 아메리카노 R (420mL당),15,0,2,0
아이스 카페 아메리카노 L (480mL당),20,0,2,0
카페 라떼 R (354mL당),150,0,15,0
카페 라떼 L (480mL당),200,0,22,0
콜드브루 라떼 (360mL당),75,0,7,0
초코 쉐이크 (420mL당),565,0,15,0
아이스 카페 모카 R (420mL당),270,0,13,0
아이스 카페 모카 L (480mL당),310,0,15,0
티라미수 라떼 (360mL당),522,0,18,0
바닐라 쉐이크 (420mL당),445,0,13,0
에스프레소 콘 파나 싱글 (35mL당),45,0,2,0
시그니처 라떼 (237mL당),235,0,7,0
바닐라 라떼 R (354mL당),190,0,15,0
바닐라 라떼 L (480mL당),260,0,20,0
숏라떼 (280mL당),115,0,12,0
요거 프라페 R (420mL당),290,0,3,0
요거 프라페 L (480mL당),330,0,5,0
아이스 카라멜 마키아또 R (420mL당),190,0,13,0
아이스 카라멜 마키아또 L (480mL당),215,0,15,0
초콜릿 라떼 (354mL당),260,0,17,0
에스프레소 싱글 (30mL당),5,0,1,0
버블 밀크티 R (420mL당),300,0,10,0
버블 밀크티 L (480mL당),340,0,12,0
모카칩 프라페 R (420mL당),355,0,8,0
모카칩 프라페 L (480mL당),410,0,10,0
그린티 라떼 (354mL당),255,0,19,0
오렌지 자몽 주스 (480mL당),115,0,7,0
카라멜 프라페 R (420mL당),355,0,15,0
카라멜 프라페 L (480mL당),385,0,17,0
에스프레소 더블 (60mL당),10,0,3,0
키위 바나나 주스 (480mL당),270,0,5,0
버블 그린티 라떼 R (420mL당),345,0,1,0
버블 그린티 라떼 L (480mL당),385,0,20,0
망고 프라페 R (420mL당),305,0,3,0
망고 프라페 L (480mL당),350,0,5,0
오늘의 커피 R (354mL당),15,0,2,0
오늘의 커피 L (480mL당),25,0,2,0
떠먹는 헤이즐넛 생크림 크레이프 (179g당),585,0,13,0
모어 댄 쿠키 앤 크림 (155g당),390,0,4,0
퀸즈 캐롯 (179g당),575,0,12,0
비 마이 민트 (157g당),500,0,16,0
비 마이 스트로베리 (154g당),410,0,9,0
블랙 벨벳 (151g당),525,0,10,0
딸기 생크림 (117g당),305,0,7,0
카푸치노 생크림 (157g당),435,0,7,0
유자 레몬 마카롱 (25g당),105,0,2,0
초콜릿 크렘슈 (120g당),355,0,9,0
마다가스카르 바닐라 마카롱 (25g당),100,0,2,0
바닐라 크렘슈 (126g당),360,0,11,0
생크림 피칸 타르트 (105g당),410,0,11,0
생크림 소프트 쉬폰 (82g당),310,0,33,0
러브 시그널 (92g당),270,0,7,0
바닐라 크렘 브륄레 (168g당),420,0,16,0
TWG 밀크티 쉬폰 (106g당),280,0,7,0
더치 솔티드 카라멜 (129g당),460,0,13,0
까망베르 치즈 (97g당),385,0,11,0
떠먹는 스트로베리 초콜릿 생크림 (71g당),205,0,5,0
떠먹는 티라미수 (144g당),475,0,15,0
벨지안 가나슈 (149g당),695,0,16,0
떠먹는 딸기 레어 치즈 (163g당),455,0,13,0
떠먹는 아이스박스 (190g당),775,0,14,0
그뤼에르 치즈 무스 (130g당),450,0,10,0
초코롱 프랄리네 (16g당),70,0,2,0
초코롱 바닐라  (16g당),70,0,2,0
초코롱 피스타치오 (16g당),65,0,2,0
초코롱 오렌지 (16g당),65,0,2,0
초코롱 산딸기 (16g당),60,0,4,0
초코롱 바나나 (16g당),65,0,2,0
트리플 초콜릿 무스 (112g당),365,0,9,0
뉴욕 치즈 (102g당),365,0,11,0
블루베리 파블랑 (232g당),270,0,9,0
쇼콜라 쿠키 파블랑 (220g당),355,0,11,0
소프트 아이스크림_콘 (135g당),325,0,10,0
소프트 아이스크림_컵 (110g당),195,0,7,0
산딸기 마카롱 (17g당),75,0,2,0
로즈베리 생크림 (117g당),305,0,7,0
그린티 마카롱 (17g당),75,0,2,0
벨지안 초콜릿 마카롱 (17g당),85,0,2,0
블루베리 마카롱 (17g당),70,0,2,0
레드 벨벳 (153g당),375,0,4,0
딸기 요거 (107g당),260,0,5,0
바닐라 아포가토 (227g당),275,0,10,0
클래식 가토 (107g당),275,0,9,0
스파이시 튜나 바게트 (268g당),540,0,40,0
플레인 그릭 요거트 (170g당),230,0,13,0
허니 바나나 그릭 요거트 (175g당),220,0,10,0
스트로베리 그릭 요거트 (162g당),210,0,10,0
에그 브리오슈 (90g당),185,0,14,0
애플 고다 프렌치토스트 (125g당),285,0,14,0
핫치킨 치아바타 (127g당),150,0,11,0
초리조&모짜렐라 크루아상 (94g당),330,0,27,0
애플&까마에르 크루아상 (133g당),400,0,18,0
그릴드포카치아갈릭치킨 (163g당),300,0,30,0
그릴드포카치아햄&치즈 (145g당),300,0,27,0
핫치킨베이크 (227g당),485,0,53,0
불고기베이크 (215g당),475,0,44,0
토마토모짜렐라랩 (251g당),455,0,40,0
시저치킨랩 (194g당),395,0,38,0
올리브 치킨 파니니 (206g당),590,0,64,0
칠리 소시지 바게트 샌드위치 (227g당),430,0,38,0
할라피뇨 스테이크 바게트 샌드위치 (244g당),535,0,38,0
